,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,A-366,HL60,4.83616
3,ABT737,HL60,-2.817798
4,AGI-5198,HL60,3.644734
5,AGI-6780,HL60,3.037778
6,AGK2,HL60,2.904736
7,AMG-319,HL60,3.808546
8,AT13148,HL60,3.379137
9,AZ960,HL60,0.054884
10,AZD1208,HL60,4.885844
11,AZD1332,HL60,4.895281
12,AZD2014,HL60,3.617651
13,AZD3759,HL60,2.156169
14,AZD4547,HL60,3.137978
15,AZD5153,HL60,-0.760805
16,AZD5363,HL60,1.933375
17,AZD5438,HL60,1.929562
18,AZD5582,HL60,1.523764
19,AZD6738,HL60,2.042793
20,AZD7762,HL60,0.296543
21,AZD8055,HL60,1.456973
22,AZD8186,HL60,1.816854
23,Acetalax,HL60,5.255601
24,Afatinib,HL60,1.518567
25,Afuresertib,HL60,3.057738
26,Alpelisib,HL60,2.21634
27,Axitinib,HL60,1.346913
28,BI-2536,HL60,-3.860741
29,BIBR-1532,HL60,3.967546
30,BMS-345541,HL60,4.133874
31,BMS-536924,HL60,-0.15958
32,BMS-754807,HL60,-0.497059
33,Bleomycin,HL60,2.846334
34,Bleomycin (50 uM),HL60,3.346662
35,Bortezomib,HL60,-5.511162
36,Bosutinib,HL60,1.746057
37,Bromosporine,HL60,0.197511
38,Buparlisib,HL60,0.361896
39,CCT007093,HL60,4.802852
40,CPI-637,HL60,3.339946
41,CZC24832,HL60,4.656184
42,Camptothecin,HL60,-4.472606
43,Carmustine,HL60,5.767251
44,Cediranib,HL60,1.939612
45,Cisplatin,HL60,1.387772
46,Crizotinib,HL60,2.02268
47,Cyclophosphamide,HL60,2.452611
48,Cytarabine,HL60,0.250847
49,Dabrafenib,HL60,4.896857
50,Dacarbazine,HL60,5.007591
51,Dactinomycin,HL60,-3.828022
52,Dactolisib,HL60,-1.099591
53,Dasatinib,HL60,2.184483
54,Dihydrorotenone,HL60,-3.980924
55,Dinaciclib,HL60,-3.863254
56,Docetaxel,HL60,-5.308438
57,Doramapimod,HL60,4.815009
58,EHT-1864,HL60,2.148829
59,EPZ004777,HL60,4.743614
60,EPZ5676,HL60,4.468414
61,Entinostat,HL60,0.657198
62,Entospletinib,HL60,4.430713
63,Epirubicin,HL60,-2.725109
64,Erlotinib,HL60,3.516011
65,Fludarabine,HL60,1.615393
66,Foretinib,HL60,0.507843
67,Fulvestrant,HL60,3.329908
68,GDC0810,HL60,1.950125
69,GNE-317,HL60,-0.282199
70,GSK2578215A,HL60,2.065239
71,GSK2606414,HL60,2.656222
72,GSK2801,HL60,4.181437
73,GSK2830371,HL60,3.332171
74,GSK343,HL60,2.845398
75,GW441756,HL60,2.912734
76,Gallibiscoquinazole,HL60,1.713327
77,Gefitinib,HL60,3.269647
78,Gemcitabine,HL60,-3.005111
79,I-BET-762,HL60,0.75756
80,I-BRD9,HL60,2.824221
81,ICL-SIRT078,HL60,3.229446
82,IWP-2,HL60,1.86372
83,Ibrutinib,HL60,3.251737
84,Ipatasertib,HL60,2.421669
85,Irinotecan,HL60,0.505657
86,JNK Inhibitor VIII,HL60,4.787407
87,JQ1,HL60,-1.774252
88,KRAS (G12C) Inhibitor-12,HL60,5.559532
89,KU-55933,HL60,4.233836
90,L-Oxonoreleagnine,HL60,3.071544
91,LGK974,HL60,2.274807
92,LJI308,HL60,4.338849
93,LMP744,HL60,-1.699738
94,LY2109761,HL60,4.893069
95,Lapatinib,HL60,3.124205
96,Leflunomide,HL60,4.850157
97,Lenalidomide,HL60,3.177559
98,Linsitinib,HL60,2.296419
99,Luminespib,HL60,-3.321522
100,MG-132,HL60,-1.14181
101,MIM1,HL60,4.384764
102,MIRA-1,HL60,4.251009
103,MK-2206,HL60,3.567611
104,ML323,HL60,3.795059
105,MN-64,HL60,2.037886
106,Methotrexate,HL60,-3.429267
107,Mirin,HL60,4.734348
108,Mitoxantrone,HL60,-1.648092
109,Motesanib,HL60,3.398147
110,Mycophenolic acid,HL60,0.872644
111,N-acetyl cysteine,HL60,9.943743
112,NU7441,HL60,0.40654
113,NVP-ADW742,HL60,0.25705
114,Navitoclax,HL60,-1.246696
115,Nelarabine,HL60,5.274322
116,Nilotinib,HL60,2.067855
117,Niraparib,HL60,4.647715
118,Nutlin-3a (-),HL60,3.685447
119,OF-1,HL60,0.928478
